Emotion,Sentence,Sentence_cleaned
Surprise,đắt hơn sân bay luôn,đắt hơn sân bay luôn
Disgust,cmm lộ hết thông tin của người ta,cmm lộ hết thông tin của người ta
Fear,đã nguy hiểm vậy sao không hủy mà bán 0 . 0,đã nguy hiểm vậy sao không hủy mà bán 0 0
Surprise,bán không thu thuế luôn à,bán không thu thuế luôn à
Sadness,t chỉ thấy tình yêu của tao nó tan vỡ thôi,tao chỉ thấy tình yêu của tao nó tan vỡ thôi
Enjoyment,per :)))) buồn cười vãi,per buồn cười vãi
Anger,thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy,thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy
Sadness,chưa khi mô biết cảm giác đi nhởi trung thu với người yêu như răng,chưa khi mô bt cảm giác đi nhởi trung thu với người yêu như răng
Enjoyment,móng này móc cua thì đỉnh 😹,móng này móc cua thì đỉnh 😹
Enjoyment,có mưa cảm giác như được sống lại :))),có mưa cảm giác như được sống lại
Disgust,mà nó đéo ' quan tâm thì càng đừng nghĩ nó thích mình nha :vậy,mà nó đéo quan tâm thì càng đừng nghĩ nó thích mình nha vậy
Other,vợ dùng phá quá nên boss mới thế 🤧🤧🤧,vợ dùng phá quá nên boss mới thế 🤧
Enjoyment,haha biết ngây mà,haha bt ngây mà
Sadness,bể mẹ cái kính cường lực mới dán :#,bể mẹ cái kính cường lực mới dán
Other,dù đúng hay sai cũng đừng bao giờ cãi nhau với con gáo đến cuối cùng mày vẫn sai .,dù đúng hay sai cũng đừng bao giờ cãi nhau với con gáo đến cuối cùng mày vẫn sai
Enjoyment,"cần gì xa hoa đâu , thế này là hạnh phúc , thấy thương và ngưỡng mộ ông bà quá",cần gì xa hoa đâu thế này là hạnh phúc thấy thương và ngưỡng mộ ông bà quá
Surprise,sao nhanh như chớp vậy được,sao nhanh như chớp vậy được
Anger,nhỏ không dạy để lớn lên làm đĩ à ? phụ huynh kiểu gì thế ?,nhỏ không dạy để lớn lên làm đĩ à phụ huynh kiểu gì thế
Other,thằng kia làm nhẹ nhẹ thôi nhé .,thằng kia làm nhẹ nhẹ thôi nhé
Disgust,no ́ xâ ́ u tao thi ̀...,no ́ xâ ́ u tao thi ̀
Other,thế là đã phần nào đoán được kết quả cuộc gặp tại hà nội,thế là đã phần nào đoán được kết quả cuộc gặp tại hà nội
Sadness,bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa :)),bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa
Disgust,cái đất nước này loạn luân mẹ hết rồi :))),cái đất nước này loạn luân mẹ hết rồi
Enjoyment,"ôi zồi ôi , nhìn cái mặt của ẻm kìa , yêu ghê :))",ôi zồi ôi nhìn cái mặt của ẻm kìa yêu ghê
Other,phố mày co ́ đô ̀ người nghiê ̣ p tô ́ tao ghê :))),phố mày co ́ đô ̀ người nghiê ̣ p tô ́ tao ghê
Other,per haha bữa 3 đứa mới phong trào xong,per haha bữa 3 đứa mới phong trào xong
Other,mốc từ trong trứng,mốc từ trong trứng
Anger,"truy tố ra tòa chứ phạt hành chính gì ??? lừa đảo có tổ chức số tiền trăm tỷ , thêm tội truyền bá mê tín dị đoan ... 👎👎👎",truy tố ra tòa chứ phạt hành chính gì lừa đảo có tổ chức số tiền trăm tỷ thêm tội truyền bá mê tín dị đoan 👎
Sadness,xem tới đây dume ứa nước mắt 😞,xem tới đây dume ứa nước mắt 😞
Anger,toàn “ nam thanh nữ tú ” mở mồm ra nói hay như sách giáo khoa . hành động thì như con c ..,toàn “ nam thanh nữ tú ” mở mồm ra nói hay như sách giáo khoa hành động thì như con c
Enjoyment,thân là người yêu mình mong cậu có thể giống được như đôi mặc áo nâu ❤️,thân là người yêu mình mong cậu có thể giống được như đôi mặc áo nâu ❤️
Sadness,😑 sao cái kết gì mà buồn vậy,😑 sao cái kết gì mà buồn vậy
Other,cô ơi nhiệt tình là tốt nhưng bản thân phải an toàn trước 😗,cô ơi nhiệt tình là tốt nhưng bản thân phải an toàn trước 😗
Sadness,"nói mưa là mưa v chời , tôi còn đi chơi đi học nữa mừ .",nói mưa là mưa vậy chời tôi còn đi chơi đi học nữa mừ
Other,"1 vị đắng của mưu sinh , 1 vị ngọt của hạnh phúc gia đình",1 vị đắng của mưu sinh 1 vị ngọt của hạnh phúc gia đình
Enjoyment,per xinh nhỉ :)) ngày xưa cũng xem phim này mà không để ý có cả bả,per xinh nhỉ ngày xưa cũng xem phim này mà không để ý có cả bả
Disgust,"bởi đây là lý do tao không muốn xem điện thoại người yêu , nếu không nó xanh cỏ lâu rồi 😑",bởi đây là lý do tao không muốn xem điện thoại người yêu nếu không nó xanh cỏ lâu rồi 😑
Enjoyment,còn gì hạnh phúc hơn trong cuộc sống này ♥️,còn gì hạnh phúc hơn trong cuộc sống này ♥️
Anger,ai cũng từng bị bố mẹ chửi mắng . em ấy cũng vậy . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được . chả bằng được cái đứa con nít còn tỏ vẻ ta đây,ai cũng từng bị bố mẹ chửi mắng em ấy cũng vậy là người lớn chúng ta lắng nghe và chia sẻ nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được chả bằng được cái đứa con nít còn tỏ vẻ ta đây
Disgust,thớt làm chị mà ích kỉ vãi ...,thớt làm chị mà ích kỉ vãi
Disgust,mấy thanh niên ngu học theo ngôn tình thấy chai bé không viết hết được lại mua chai 1 . 8 lít thì hơi mệt đấy 😂😂😊,mấy thanh niên ngu học theo ngôn tình thấy chai bé không viết hết được lại mua chai 1 8 lít thì hơi mệt đấy 😂😂😊
Enjoyment,tuổi thơ của tôi =)),tuổi thơ của tôi
Other,việt nam cái gì cũng có thể ăn được,việt nam cái gì cũng có thể ăn được
Disgust,per đang ăn mà sao cứ chỉa trym vô hoài z khắm s ăn 🙂,per đang ăn mà sao cứ chỉa trym vô hoài vậy khắm s ăn 🙂
Sadness,khóc muốn rơi cả mắt,khóc muốn rơi cả mắt
Enjoyment,kích thích vãi,kích thích vãi
Fear,ám ảnh thật sự,ám ảnh thật sự
Sadness,per huhu em không biết phải đi xem phim với ai nữa 😭,per huhu em không bt phải đi xem phim với ai nữa 😭
Sadness,per gần nhà c ơi . hic hic,per gần nhà c ơi hic hic
Other,"tại cái gậy thôi , còn đâu là vẫn đẹp",tại cái gậy thôi còn đâu là vẫn đẹp
Anger,"cái thằng adim này mày xàm quá oy đấy , biến khỏi trang tao nhé",cái thằng adim này mày xàm quá oy đấy biến khỏi trang tao nhé
Anger,đã sợ nhện rồi mà gặp thằng admin chơi trò mất nết :((,đã sợ nhện rồi mà gặp thằng admin chơi trò mất nết
Sadness,nhờ cái bếp như này . mà hồi nhỏ tao suýt đốt cả nhà và bị chửi đó :((,nhờ cái bếp như này mà hồi nhỏ tao suýt đốt cả nhà và bị chửi đó
Disgust,"hốt về cháu có bón được cơm , mớm được sữa cho nó mỗi ngày không ?? nó chơi game cháu có rửa chân bón cơm để nó chơi nốt ván không ???? mai cô ship tận giường nuôn",hốt về cháu có bón được cơm mớm được sữa cho nó mỗi ngày không nó chơi game cháu có rửa chân bón cơm để nó chơi nốt ván không mai cô ship tận giường nuôn
Sadness,đọc tin nhắn đầu thấy cay cay ngay mũi,đọc tin nhắn đầu thấy cay cay ngay mũi
Enjoyment,per người yêu công sở nè 😂😂,per người yêu công sở nè 😂😂
Enjoyment,vậy là hên rồi,vậy là hên rồi
Other,per chiều anh bắn chưởng để em quay nhé,per chiều anh bắn chưởng để em quay nhé
Enjoyment,per nghe chưa nhân viên mới ... kk,per nghe chưa nhân viên mới kk
Other,ngáo nó có cắn đâu ??????,ngáo nó có cắn đâu
Disgust,dị ứng với kiểu nhắn tin riêng tư mà cả thế giới đều biết,dị ứng với kiểu nhắn tin riêng tư mà cả thế giới đều bt
Enjoyment,cười ỉa 😂😂 thây nó thét mà tao nghĩ dọn xong nó đi luôn cái cổ họng,cười ỉa 😂😂 thây nó thét mà tao nghĩ dọn xong nó đi luôn cái cổ họng
Disgust,"em rất duyên , và có khiếu hài hước , nhìn mặt em thôi là chị đã muốn cười , ba mẹ chửi mà vẫn vui tươi như vậy thì đáng khích lệ mà , sao nhiều người bình luận nặng lời thế không biết , chỉ là vui thôi mà",em rất duyên và có khiếu hài hước nhìn mặt em thôi là chị đã muốn cười ba mẹ chửi mà vẫn vui tươi như vậy thì đáng khích lệ mà sao nhiều người bình luận nặng lời thế không bt chỉ là vui thôi mà
Disgust,"má nó , mặc dù không có ý kì thị nhưng dume cảnh 2 thằng hôn nhau buông nôn vãi",má nó mặc dù không có ý kì thị nhưng dume cảnh 2 thằng hôn nhau buông nôn vãi
Enjoyment,per lên lịch hẹn hò nhanh,per lên lịch hẹn hò nhanh
Disgust,không biết chuyện gia đình người ta nhưng nhình mặt bà cũng thảo là thấy không có cảm tình ngay từ đầu .... mà nhờ bài viết này mới biết king coffee là của bả ... phải công nhận là nó uống dở thiệt .....,không bt chuyện gia đình người ta nhưng nhình mặt bà cũng thảo là thấy không có cảm tình ngay từ đầu mà nhờ bài viết này mới bt king coffee là của bả phải công nhận là nó uống dở thiệt
Disgust,nóng thế này cái thứ mày cho cũng không ăn,nóng thế này cái thứ mày cho cũng không ăn
Sadness,tiếc quá ! nguyên nhân,tiếc quá nguyên nhân
Enjoyment,ấm lòng vãi huhu,ấm lòng vãi huhu
Anger,thế không tính vậy thì muốn cái bệnh viện thành mẹ cái bãi giữ xe à :)),thế không tính vậy thì muốn cái bệnh viện thành mẹ cái bãi giữ xe à
Enjoyment,ngầu vãi lìn luôn á :))),ngầu vãi lìn luôn á
Enjoyment,giờ tao mới hiểu được hết những gì mà trước đây đọc bình luận tao đéo ’ hiểu 😂😂😂,giờ tao mới hiểu được hết những gì mà trước đây đọc bình luận tao đéo ’ hiểu 😂
Enjoyment,"lớp 2 xí mót được cái chong chóng , bán lại cho thằng hàng xóm 500d .",lớp 2 xí mót được cái chong chóng bán lại cho thằng hàng xóm 500d
Sadness,tôi khóc lun ... huhu,tôi khóc lun huhu
Enjoyment,má như người yêu ??,má như người yêu
Other,t chưa được rơi vào hoàn cảnh này nên cũng không biết nữa,tao chưa được rơi vào hoàn cảnh này nên cũng không bt nữa
Enjoyment,thề chứ .. phim nay xem đi xem lại không thấy chán ... vẫn như mớinxem vậy,thề chứ phim nay xem đi xem lại không thấy chán vẫn như mớinxem vậy
Sadness,không biết vì sao họ vẫn cười nhưng mình thì khóc ...,không bt vì sao họ vẫn cười nhưng mình thì khóc
Other,cho đi luôn bớt lo,cho đi luôn bớt lo
Surprise,đoạn phim thôi mà ý nghĩa thế,đoạn phim thôi mà ý nghĩa thế
Disgust,"lông xấu , không mượt bằng con ngu kia được",lông xấu không mượt bằng con ngu kia được
Other,"cái này gọi là truyền thống , không thể nói là quên được",cái này gọi là truyền thống không thể nói là quên được
Other,"đấy ... y đâu cần phải to tác , phải gào lên cho cả thế giới biết .",đấy y đâu cần phải to tác phải gào lên cho cả thế giới bt
Enjoyment,per haha sao tôi nghĩ tới em liền luôn á,per haha sao tôi nghĩ tới em liền luôn á
Other,chưa chia tay nữa mà còn khó đây,chưa chia tay nữa mà còn khó đây
Disgust,thế đéo nào nó lại kẻ dưới đấy nhỉ,thế đéo nào nó lại kẻ dưới đấy nhỉ
Disgust,oai đéo gì cái trêu gái :),oai đéo gì cái trêu gái
Other,mình nghĩ bà thảo chiếm được công tình yêu là sẽ bán ngay cổ phần cho đại gia bên thái lan nào đó .. mong là chuyện này không bao giờ xảy ra,mình nghĩ bà thảo chiếm được công tình yêu là sẽ bán ngay cổ phần cho đại gia bên thái lan nào đó mong là chuyện này không bao giờ xảy ra
Other,lâu lâu lại mong mất điện để nấu cơm rác . nk mát 1 tí . chứ cứ 42 độ có mà khỏi ăn,lâu lâu lại mong mất điện để nấu cơm rác nk mát 1 tí chứ cứ 42 độ có mà khỏi ăn
Sadness,tội nghiệp thằng bé :)))) chúng mày bốc đâu mấy cái thẻ hay thế ??? :v,tội nghiệp thằng bé chúng mày bốc đâu mấy cái thẻ hay thế v
Other,áp dụng với đứa yêu mày thôi nha,áp dụng với đứa yêu mày thôi nha
Enjoyment,chời má . ngọt chết tao rồi :)))))),chời má ngọt chết tao rồi
Fear,"per đó là lý do tại sao em luôn nói với anh , có gì cũng phải nói ra",per đó là lý do tại sao em luôn nói với anh có gì cũng phải nói ra
Anger,"phải em thì dume nó chửi thé thì đéo cần nói nhiều nữa . gọi c . an xuống kéo mẹ nó xe đi , kiểu gì cũng mệt thôi bác .",phải em thì dume nó chửi thé thì đéo cần nói nhiều nữa gọi c an xuống kéo mẹ nó xe đi kiểu gì cũng mệt thôi bác
Sadness,xài vietcombank sinh nhật cũng không được chúc luôn :((,xài vietcombank sinh nhật cũng không được chúc luôn
Enjoyment,hôm đấy bổn cung về quê báo hiếu cha mẹ .,hôm đấy bổn cung về quê báo hiếu cha mẹ
Enjoyment,chỉ có được cái chữ đẹp . hihihi ...,chỉ có được cái chữ đẹp hihihi
Enjoyment,trời má cute vãi lozzzz,trời má cute vãi loz
Sadness,là do bản thân tao ngu thôi,là do bản thân tao ngu thôi
Anger,cho chúng vào nhà đá ! quá độc ác không giết người bằng súng như thế này là giết hàng loat đấy thât khốn nạn,cho chúng vào nhà đá quá độc ác không giết người bằng súng như thế này là giết hàng loat đấy thât khốn nạn
Enjoyment,không biết nói sao ... nghiện chuẩn mẹ rồi ... crush ợ . mà nó nhẫn tâm lắm hồi trước còn hay call video . từ hôm tao cạo trọc y như là mất tích luôn . chắc phải để tóc mọc lại tao mới dám gọi . 🤭,không bt nói sao nghiện chuẩn mẹ rồi người mình thích ợ mà nó nhẫn tâm lắm hồi trước còn hay call video từ hôm tao cạo trọc y như là mất tích luôn chắc phải để tóc mọc lại tao mới dám gọi 🤭
Other,nhân quả đến sớm lắm . đăng lên làm gì :))),nhân quả đến sớm lắm đăng lên làm gì
Sadness,nhìn cái bà này tôi chỉ muốn xoạc bà 1 cái . sao bà không là con trai nhỉ . ông trời quá là trêu người rồi,nhìn cái bà này tôi chỉ muốn xoạc bà 1 cái sao bà không là con trai nhỉ ông trời quá là trêu người rồi
Enjoyment,cho dù em có dành được bao nhiêu học bổng đi chăng nữa nhưng mãi mãi em sẽ không thể có được tôi 😅,cho dù em có dành được bao nhiêu học bổng đi chăng nữa nhưng mãi mãi em sẽ không thể có được tôi 😅
Enjoyment,đã xem 2 lần bộ phim này 😁,đã xem 2 lần bộ phim này 😁
Sadness,"ôi vãi , mày thật bất hạnh vì có lũ bạn như thế",ôi vãi mày thật bất hạnh vì có lũ bạn như thế
Disgust,"đây là tây chứ mấy thằng việt nam như này , đảm bảo kêu ngáo đá :vậy",đây là tây chứ mấy thằng việt nam như này đảm bảo kêu ngáo đá vậy
Enjoyment,xin lỗi đây mình vẫn nấu nhé,xin lỗi đây mình vẫn nấu nhé
Disgust,bỏ quên não đó chứ đâu phải rác 😂,bỏ quên não đó chứ đâu phải rác 😂
Enjoyment,"phim này quá hay . xem đi xem lại mãi không chán . đặt tay lên ngực "" mọi chuyện đều ổn "" câu nói kinh điển",phim này quá hay xem đi xem lại mãi không chán đặt tay lên ngực mọi chuyện đều ổn câu nói kinh điển
Fear,"thôi xong , biết thế tém tém lại .",thôi xong bt thế tém tém lại
Anger,"gym thì liên quan cặc gì đến bede , tuy gym nhưng người ta còn siêng tập nặng hơn mấy tụi bây nhé",gym thì liên quan cặc gì đến bede tuy gym nhưng người ta còn siêng tập nặng hơn mấy tụi bây nhé
Enjoyment,mình bình luận chủ yếu muốn khoe mình là fan cứng thôi :)) các bạn không cần để ý,mình bình luận chủ yếu muốn khoe mình là fan cứng thôi các bạn không cần để ý
Anger,bất cái con cặc . 21 cái trung thu tao vẫn 1 mình . tao có thấy bất hạnh đâu . khẩu nghiệp,bất cái con cặc 21 cái trung thu tao vẫn 1 mình tao có thấy bất hạnh đâu khẩu nghiệp
Sadness,số tao không được ăn uống mà :((,số tao không được ăn uống mà
Other,rửa bát cũng được nấu cơm cũng được giặt quần áo cũng được miễn là có ba mẹ vợ con là được . làm gì cũng được,rửa bát cũng được nấu cơm cũng được giặt quần áo cũng được miễn là có ba mẹ vợ con là được làm gì cũng được
Disgust,dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((,dume cho vào bảo tàng làm lồn gì nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê
Enjoyment,cô quét đi cô cho cháu hốt về với =))),cô quét đi cô cho cháu hốt về với
Disgust,"tránh xa nó ra , nó ngáo đó , 8h sáng mà nó đòi đi ngủ là hiểu rồi",tránh xa nó ra nó ngáo đó 8h sáng mà nó đòi đi ngủ là hiểu rồi
Other,hỏi nhiều nó lại cho vào đối tượng truy nã 😏,hỏi nhiều nó lại cho vào đối tượng truy nã 😏
Anger,per nhớ lại vẫn còn tức á cái lol mẹ,per nhớ lại vẫn còn tức á cái lol mẹ
Other,lo tương lai bị bỏ rơi của chú đi :vậy,lo tương lai bị bỏ rơi của chú đi vậy
Enjoyment,và sếp tốt có thể giúp ta vui vẻ từ sáng thứ hai cho đến tối chủ nhật 😀,và sếp tốt có thể giúp ta vui vẻ từ sáng thứ hai cho đến tối chủ nhật 😀
Enjoyment,lại tạo điều kiện cho mấy chị fa vào thả thính . :)),lại tạo điều kiện cho mấy chị độc thân vào thả thính
Anger,muốn nhai luôn cả trái đất,muốn nhai luôn cả trái đất
Enjoyment,"per lại nhớ chiều nay , buồn cười sấp mặt luôn . :v dù mệt nhưng ngày nào tan làm cũng muốn được đèo đưa đi ăn kem , ăn đồ chua , ăn miến trộn như hôm nay cerrrr :v",per lại nhớ chiều nay buồn cười sấp mặt luôn v dù mệt nhưng ngày nào tan làm cũng muốn được đèo đưa đi ăn kem ăn đồ chua ăn miến trộn như hôm nay cer v
Fear,không ngờ tin nhắn riêng tư cũng phải kiêng nể nhắn tin để lỡ có bị chụp vẫn thấy chả sao,không ngờ tin nhắn riêng tư cũng phải kiêng nể nhắn tin để lỡ có bị chụp vẫn thấy chả sao
Enjoyment,tao cũng ước mình có 1 tình yêu như ông bà ❤,tao cũng ước mình có 1 tình yêu như ông bà ❤
Sadness,đau đớn quá sao phải tham mấy đồng tiền đó nhỉ,đau đớn quá sao phải tham mấy đồng tiền đó nhỉ
Disgust,quả này lại là nhà dột từ nóc rồi ;((,quả này lại là nhà dột từ nóc rồi
Sadness,"mong là chuyện không có thật , chứ có thật thì đau lòng vãi ra 😪😪",mong là chuyện không có thật chứ có thật thì đau lòng vãi ra 😪😪
Fear,per nguy hiểm luôn rình rập xung quanh chúng ta :((,per nguy hiểm luôn rình rập xung quanh chúng ta
Enjoyment,trắc đấy là nyc của nó 🤣,trắc đấy là nyc của nó 🤣
Other,đừng hỏi tại sao giới tính cứ bị bẻ cong,đừng hỏi tại sao giới tính cứ bị bẻ cong
Sadness,khóc hết nước mắt 😞😞,khóc hết nước mắt 😞😞
Disgust,đúng là chó cậy chủ mà 🤣,đúng là chó cậy chủ mà 🤣
Disgust,chấp nhận đi mày .. chửi gì dữ vậy ..! mỗi người mổ việc mà ... nếu không thích thì kiếm việc khác mà làm ..,chấp nhận đi mày chửi gì dữ vậy mỗi người mổ việc mà nếu không thích thì kiếm việc khác mà làm
Sadness,":))) ở đoạn đó hồi năm nhất tao "" được "" họ lấy 100k , vì sáng sớm đem duy nhất 100k trong túi , thế là nộp luôn :))))",ở đoạn đó hồi năm nhất tao được họ lấy 100k vì sáng sớm đem duy nhất 100k trong túi thế là nộp luôn
Other,per đọc nhầm con nhện thành con gián :)) thật khó hiểu,per đọc nhầm con nhện thành con gián thật khó hiểu
Other,may mà bà già bảo năm hạn đừng đi chứ không hạn thật,may mà bà già bảo năm hạn đừng đi chứ không hạn thật
Disgust,cái giống mắc zại nhất từng thấy :)),cái giống mắc zại nhất từng thấy
Anger,bắn cái lũ khốn nặn kia ra . mấy ông bà lại ăn cho lắm tiền vào . để cả 1 thế hệ trẻ em bệnh tật . làm cho ra lẽ đi . bọn này bắn cmm nó đi . quá là ác,bắn cái lũ khốn nặn kia ra mấy ông bà lại ăn cho lắm tiền vào để cả 1 thế hệ trẻ em bệnh tật làm cho ra lẽ đi bọn này bắn cmm nó đi quá là ác
Disgust,đéo có não à,đéo có não à
Disgust,"không biết bác dạy ra sao mà đến nỗi . còn tao dạy nhận tiền mặt , dạy 10 ngày là phụ huynh trả luôn tiền tháng đó chứ không có nhập nhằng gì hết",không bt bác dạy ra sao mà đến nỗi còn tao dạy nhận tiền mặt dạy 10 ngày là phụ huynh trả luôn tiền tháng đó chứ không có nhập nhằng gì hết
Other,"thực ra bị bóc trên mạng thì thường là bẩn thỉu , không phân quê quán",thực ra bị bóc trên mạng thì thường là bẩn thỉu không phân quê quán
Disgust,ôi không đọc được bài của chị thì em vẫn tin tưởng cái group đấy lắm,ôi không đọc được bài của chị thì em vẫn tin tưởng cái group đấy lắm
Disgust,"tính ra là 1 cuộn keo 2 mặt sẽ giải quyết được moiij chuyện =)) , cơ mà ý thức như lồn thật :v",tính ra là 1 cuộn keo 2 mặt sẽ giải quyết được moiij chuyện cơ mà ý thức như lồn thật v
Disgust,"chỗ đó không có , họ thấy lạ , chứ như tao lần đầu thấy trên internet tao cũng lạ , chửi gì ghê thế",chỗ đó không có họ thấy lạ chứ như tao lần đầu thấy trên internet tao cũng lạ chửi gì ghê thế
Sadness,khổ thân các cháu,khổ thân các cháu
Disgust,"nước bẩn quá , toàn rác !",nước bẩn quá toàn rác
Sadness,chỉ những người độc thân thôi,chỉ những người độc thân thôi
Enjoyment,nhìn cái muốn cong :d,nhìn cái muốn cong d
Disgust,"thanh niên bỏ nhà theo trai rồi bầu bắt sen chăm , thứ hoàng thượng dâm tà",thanh niên bỏ nhà theo trai rồi bầu bắt sen chăm thứ hoàng thượng dâm tà
Disgust,"t đợi cái post về loài hãm lòn này lâu lắm rồi nhá . dcm nhìn ngốc nghếch thế thôi mà dữ lắm luôn , có lần tao cúi xuống cầm gậy đuổi nó vào chuồng mà nhân lúc tao sơ hở rón rén đến suýt táp vào đít tao . lúc ấy sợ tụt lòn vì chỉ còn có 2 bước nữa thôi là nó đớp gọn tao rồi .... có hôm tao vừa ngờ nghệch ra vườn hóng mát thì cả đàn , cả đàn nhé . dí tao chạy quanh vườn , con nào con nấy vênh cổ lên chạy theo tao . nhờ nó mà suýt chút nữa tao chết vì đau tim ....",tao đợi cái post về loài hãm lòn này lâu lắm rồi nhá địt cụ mày nhìn ngốc nghếch thế thôi mà dữ lắm luôn có lần tao cúi xuống cầm gậy đuổi nó vào chuồng mà nhân lúc tao sơ hở rón rén đến suýt táp vào đít tao lúc ấy sợ tụt lòn vì chỉ còn có 2 bước nữa thôi là nó đớp gọn tao rồi có hôm tao vừa ngờ nghệch ra vườn hóng mát thì cả đàn cả đàn nhé dí tao chạy quanh vườn con nào con nấy vênh cổ lên chạy theo tao nhờ nó mà suýt chút nữa tao chết vì đau tim
Enjoyment,ly hôn cũng phải hoành tráng chứ .. còn phải làm to hơn kết hôn mới được 🤣,ly hôn cũng phải hoành tráng chứ còn phải làm to hơn kết hôn mới được 🤣
Disgust,mèo nhìn dễ thương mà ác vãi < 3,mèo nhìn dễ thương mà ác vãi 3
Enjoyment,dễ thương vậy chời,dễ thương vậy chời
Anger,bạn gái trong ảnh lưu hình gửi cho công an xã chết con mẹ bọn nó đi :))),bạn gái trong ảnh lưu hình gửi cho công an xã chết con mẹ bọn nó đi
Disgust,các bạn buồn cười vãi cả đái . người ta đỗ ở đường chứ có phải trong nhà bạn đéo đâu mà nhặng lên .,các bạn buồn cười vãi cả đái người ta đỗ ở đường chứ có phải trong nhà bạn đéo đâu mà nhặng lên
Disgust,ngu chưa . đăng lên để rồi bị chửi,ngu chưa đăng lên để rồi bị chửi
Enjoyment,nhìn con bé thấy cưng ghê chị ơi,nhìn con bé thấy cưng ghê chị ơi
Disgust,per anh bạn tồi nhất quả đất này,per anh bạn tồi nhất quả đất này
Disgust,cho ̣ c mù mắt tao đi 🤣🤣,cho ̣ c mù mắt tao đi 🤣🤣
Enjoyment,đồng đội chơi tốt quá hahaaa,đồng đội chơi tốt quá haha
Fear,kinh vãi,kinh vãi
Other,lợi ích của việc không nghe lời vợ ??,lợi ích của việc không nghe lời vợ
Anger,cho về hết chứ cứ lương không mà không làm thêm gì mà có nhà lầu xe hơi thì lấy ở đâu ???????? không phải đùn đẩy .... cho về hết bọn nó mới hết không tìm ra nguyên nhân .... không có sao phụ huynh dám nói ....,cho về hết chứ cứ lương không mà không làm thêm gì mà có nhà lầu xe hơi thì lấy ở đâu không phải đùn đẩy cho về hết bọn nó mới hết không tìm ra nguyên nhân không có sao phụ huynh dám nói
Enjoyment,"phải nói là hài tàu hay thật đấy , luôn li kì và khó đoán kết quả , ý nghĩa thì thâm sau . hihi thích rồi đó",phải nói là hài tàu hay thật đấy luôn li kì và khó đoán kết quả ý nghĩa thì thâm sau hihi thích rồi đó
Disgust,giờ lắm bọn biến thái thế,giờ lắm bọn biến thái thế
Sadness,chị đầu tiên buồn v :((,chị đầu tiên buồn vậy
Sadness,trời ơi tao chóng mặt quá đi :((,trời ơi tao chóng mặt quá đi
Disgust,"đúng kiểu tham lam mà tài năng thì có hạn , miệng thì bảo sợ ông vũ làm sạt nghiệp trung nguyên nhưng bản thân trước đó lại làm lỗ của công tình yêu 1700 tỉ , mụ đàn bà mặt dày",đúng kiểu tham lam mà tài năng thì có hạn miệng thì bảo sợ ông vũ làm sạt nghiệp trung nguyên nhưng bản thân trước đó lại làm lỗ của công tình yêu 1700 tỉ mụ đàn bà mặt dày
Disgust,có tay mà người bị cụt tay . ko bao giờ sử dụng bàn tay đó . ngu trở lên nổi tiếng .,có tay mà người bị cụt tay không bao giờ sử dụng bàn tay đó ngu trở lên nổi tiếng
Anger,dume đồng nghiệp gặp hlin thì chỉ muốn nghỉ thôi,dume đồng nghiệp gặp hlin thì chỉ muốn nghỉ thôi
Other,ko nghe lời vợ mới là mấu chốt :),không nghe lời vợ mới là mấu chốt
Disgust,"nói bao giờ cũng dẽ hơn làm , mà mặt 2 đứa này nhìn như mất mẹ dây thần kinh gì đấy",nói bao giờ cũng dẽ hơn làm mà mặt 2 đứa này nhìn như mất mẹ dây thần kinh gì đấy
Surprise,"sản phẩm tốt đấy , có tính ứng dụng cao",sản phẩm tốt đấy có tính ứng dụng cao
Disgust,nếu đồng nghiệp của bạn hãm vãi thì cũng nên đăng xuất đi hiền hana,nếu đồng nghiệp của bạn hãm vãi thì cũng nên đăng xuất đi hiền hana
Fear,"tao cưới rồi , cưới nữa cho vợ tao chém tao chết à",tao cưới rồi cưới nữa cho vợ tao chém tao chết à
Enjoyment,"tuyệt vời , chỉ cần họ thấy vui và hạnh phúc",tuyệt vời chỉ cần họ thấy vui và hạnh phúc
Disgust,ngu quá là ngu đậu xe gì mà sát đường ray tàu hoả thế chứ .? quả này người ta còn phạt thêm cho nữa chứ đâu phải lát xe mà xong đâu ..?,ngu quá là ngu đậu xe gì mà sát đường ray tàu hoả thế chứ quả này người ta còn phạt thêm cho nữa chứ đâu phải lát xe mà xong đâu
Enjoyment,cẩn thận mày lại có cháu sớm 🤣,cẩn thận mày lại có cháu sớm 🤣
Enjoyment,yêu hay không yêu không yêu hay yêu nói 1 lời 😂,yêu hay không yêu không yêu hay yêu nói 1 lời 😂
